[03:28:31.695] for size 100 -- {:W=>nil, :N=>nil}
[03:28:31.696] for size 99 -- {:W=>nil, :N=>nil}
[03:28:31.696] for size 98 -- {:W=>nil, :N=>nil}
[03:28:31.696] for size 97 -- {:W=>nil, :N=>nil}
[03:28:31.697] for size 96 -- {:W=>nil, :N=>nil}
[03:28:31.697] for size 95 -- {:W=>nil, :N=>nil}
[03:28:31.698] for size 94 -- {:W=>nil, :N=>nil}
[03:28:31.698] for size 93 -- {:W=>nil, :N=>nil}
[03:28:31.699] for size 92 -- {:W=>nil, :N=>nil}
[03:28:31.701] for size 91 -- {:W=>nil, :N=>nil}
[03:28:31.702] for size 90 -- {:W=>nil, :N=>nil}
[03:28:31.702] for size 89 -- {:W=>nil, :N=>nil}
[03:28:31.703] for size 88 -- {:W=>nil, :N=>nil}
[03:28:31.704] for size 87 -- {:W=>nil, :N=>nil}
[03:28:31.704] for size 86 -- {:W=>nil, :N=>nil}
[03:28:31.705] for size 85 -- {:W=>nil, :N=>nil}
[03:28:31.706] for size 84 -- {:W=>nil, :N=>nil}
[03:28:31.707] for size 83 -- {:W=>nil, :N=>nil}
[03:28:31.709] for size 82 -- {:W=>nil, :N=>nil}
[03:28:31.710] for size 81 -- {:W=>nil, :N=>nil}
[03:28:31.711] for size 80 -- {:W=>nil, :N=>nil}
[03:28:31.713] for size 79 -- {:W=>nil, :N=>nil}
[03:28:31.714] for size 78 -- {:W=>nil, :N=>nil}
[03:28:31.715] for size 77 -- {:W=>nil, :N=>nil}
[03:28:31.716] for size 76 -- {:W=>nil, :N=>nil}
[03:28:31.717] for size 75 -- {:W=>nil, :N=>nil}
[03:28:31.719] for size 74 -- {:W=>nil, :N=>nil}
[03:28:31.720] for size 73 -- {:W=>nil, :N=>nil}
[03:28:31.722] for size 72 -- {:W=>nil, :N=>nil}
[03:28:31.724] for size 71 -- {:W=>nil, :N=>nil}
[03:28:31.725] for size 70 -- {:W=>nil, :N=>nil}
[03:28:31.727] for size 69 -- {:W=>nil, :N=>nil}
[03:28:31.729] for size 68 -- {:W=>nil, :N=>nil}
[03:28:31.730] for size 67 -- {:W=>nil, :N=>nil}
[03:28:31.732] for size 66 -- {:W=>nil, :N=>nil}
[03:28:31.735] for size 65 -- {:W=>nil, :N=>nil}
[03:28:31.737] for size 64 -- {:W=>nil, :N=>nil}
[03:28:31.740] for size 63 -- {:W=>nil, :N=>nil}
[03:28:31.743] for size 62 -- {:W=>nil, :N=>nil}
[03:28:31.746] for size 61 -- {:W=>nil, :N=>nil}
[03:28:31.748] for size 60 -- {:W=>nil, :N=>nil}
[03:28:31.750] for size 59 -- {:W=>nil, :N=>nil}
[03:28:31.753] for size 58 -- {:W=>nil, :N=>nil}
[03:28:31.755] for size 57 -- {:W=>nil, :N=>nil}
[03:28:31.757] for size 56 -- {:W=>nil, :N=>nil}
[03:28:31.759] for size 55 -- {:W=>nil, :N=>nil}
[03:28:31.762] for size 54 -- {:W=>nil, :N=>nil}
[03:28:31.764] for size 53 -- {:W=>nil, :N=>nil}
[03:28:31.767] for size 52 -- {:W=>nil, :N=>nil}
[03:28:31.769] for size 51 -- {:W=>nil, :N=>nil}
[03:28:31.772] for size 50 -- {:W=>nil, :N=>nil}
[03:28:31.774] for size 49 -- {:W=>nil, :N=>nil}
[03:28:31.777] for size 48 -- {:W=>nil, :N=>nil}
[03:28:31.780] for size 47 -- {:W=>nil, :N=>nil}
[03:28:31.783] for size 46 -- {:W=>nil, :N=>nil}
[03:28:31.786] for size 45 -- {:W=>nil, :N=>nil}
[03:28:31.790] for size 44 -- {:W=>nil, :N=>nil}
[03:28:31.795] for size 43 -- {:W=>nil, :N=>nil}
[03:28:31.798] for size 42 -- {:W=>nil, :N=>nil}
[03:28:31.801] for size 41 -- {:W=>nil, :N=>nil}
[03:28:31.804] for size 40 -- {:W=>nil, :N=>nil}
[03:28:31.807] for size 39 -- {:W=>nil, :N=>nil}
[03:28:31.810] for size 38 -- {:W=>nil, :N=>nil}
[03:28:31.813] for size 37 -- {:W=>nil, :N=>nil}
[03:28:31.816] for size 36 -- {:W=>nil, :N=>nil}
[03:28:31.820] for size 35 -- {:W=>nil, :N=>nil}
[03:28:31.823] for size 34 -- {:W=>nil, :N=>nil}
[03:28:31.827] for size 33 -- {:W=>nil, :N=>nil}
[03:28:31.830] for size 32 -- {:W=>nil, :N=>nil}
[03:28:31.833] for size 31 -- {:W=>nil, :N=>nil}
[03:28:31.838] for size 30 -- {:W=>nil, :N=>nil}
[03:28:31.842] for size 29 -- {:W=>nil, :N=>nil}
[03:28:31.847] for size 28 -- {:W=>nil, :N=>nil}
[03:28:31.851] for size 27 -- {:W=>nil, :N=>nil}
[03:28:31.855] for size 26 -- {:W=>nil, :N=>nil}
[03:28:31.858] for size 25 -- {:W=>nil, :N=>nil}
