[02:46:53.325] for size 100, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.325] for size 99, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.326] for size 98, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.326] for size 97, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.327] for size 96, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.327] for size 95, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.328] for size 94, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.328] for size 93, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.331] for size 92, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.331] for size 91, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.332] for size 90, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.333] for size 89, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.334] for size 88, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.335] for size 87, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.337] for size 86, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.338] for size 85, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.339] for size 84, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.341] for size 83, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.343] for size 82, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.344] for size 81, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.346] for size 80, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.347] for size 79, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.349] for size 78, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.351] for size 77, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.353] for size 76, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.354] for size 75, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.357] for size 74, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.359] for size 73, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.362] for size 72, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.365] for size 71, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.369] for size 70, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.372] for size 69, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.374] for size 68, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.376] for size 67, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.379] for size 66, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.381] for size 65, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.384] for size 64, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.387] for size 63, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.389] for size 62, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.392] for size 61, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.395] for size 60, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.398] for size 59, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.401] for size 58, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.403] for size 57, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.408] for size 56, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.413] for size 55, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.417] for size 54, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.420] for size 53, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.424] for size 52, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.428] for size 51, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.431] for size 50, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.435] for size 49, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.438] for size 48, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.444] for size 47, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.450] for size 46, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.457] for size 45, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.463] for size 44, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.467] for size 43, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.471] for size 42, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.474] for size 41, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.479] for size 40, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.484] for size 39, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.488] for size 38, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.492] for size 37, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.497] for size 36, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.502] for size 35, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.506] for size 34, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.510] for size 33, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.517] for size 32, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.525] for size 31, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.533] for size 30, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.539] for size 29, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.544] for size 28, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.549] for size 27, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.556] for size 26, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.564] for size 25, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.569] for size 24, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.574] for size 23, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.582] for size 22, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.588] for size 21, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.593] for size 20, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.597] for size 19, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.602] for size 18, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.659] for size 17, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.704] for size 16, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.746] for size 15, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.810] for size 14, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:53.897] for size 13, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:54.009] for size 12, there're 0 matrixes -- {:W=>nil, :N=>nil}
[02:46:54.211] for size 11, there're 1 matrixes -- {:W=>nil, :N=>nil}
[02:46:54.463] for size 10, there're 4 matrixes -- {:W=>nil, :N=>nil}
[02:46:54.808] for size 9, there're 18 matrixes -- {:W=>nil, :N=>nil}
[02:46:55.449] for size 8, there're 67 matrixes -- {:W=>nil, :N=>nil}
[02:46:56.326] for size 7, there're 168 matrixes -- {:W=>8, :N=>nil}
[02:46:57.312] for size 6, there're 356 matrixes -- {:W=>8, :N=>nil}
[02:46:58.396] for size 5, there're 703 matrixes -- {:W=>8, :N=>nil}
W: 8
N: 5
